ticker,year,revenue_eur_m,net_income_eur_m,total_assets_eur_m,total_equity_eur_m,total_liabilities_eur_m,shares_outstanding_m,dividends_per_share_eur,source,source_url,retrieved_date,notes
AIR,2025,1.68,-0.426,0.738,-0.227,0.965,,,Issuer 12-month report (unaudited),https://view.news.eu.nasdaq.com/view?id=b996b4ac09605425c8f4ea7d6a081bb82&lang=et,2026-08-31,equity is negative — a real capital deficit
AIR,2024,1.317,-0.248,0.65,0.199,0.451,3.0,0.0,Issuer annual report (audited),https://airobothome.com/documents/investor/2025/Auditeeritud%20Aruanne.pdf,2026-08-31,"parent-only — subsidiary merged in, basis changed from the prior years"
AIR,2023,1.524,0.053,0.776,0.447,0.329,3.0,0.0,Issuer annual report (audited),https://airobothome.com/documents/investor/2024/Airobot_aruanne_2023.pdf,2026-08-31,consolidated
AIR,2022,1.002,-0.388,0.722,0.394,0.328,3.0,0.0,Issuer annual report (audited),https://airobothome.com/documents/investor/2023/ARUANNE%202022%20koos%20audiitori%20otsusega.pdf,2026-08-31,consolidated; qualified audit opinion on 2021 opening inventory
AKO1L,2025,1580.699,54.27,1014.272,344.717,669.555,167.0,0.09,ESEF,https://filings.xbrl.org/529900UB9QON717IL030/2025-06-30/ESEF/LT/0/abakolagroup-2025-06-30-en.json,2026-08-31,liabilities derived as assets minus equity
AKO1L,2024,1506.238,21.934,886.061,295.634,590.427,168.0,0.03,ESEF,https://filings.xbrl.org/529900UB9QON717IL030/2024-06-30/ESEF/LT/0/abakolagroup-2024-06-30-en.json,2026-08-31,liabilities derived as assets minus equity
AKO1L,2023,1999.617,18.134,894.323,284.152,610.171,167.0,0.03,ESEF,https://filings.xbrl.org/529900UB9QON717IL030/2023-06-30/ESEF/LT/0/ablinasagrogroup-2023-06-30-en.json,2026-08-31,liabilities derived as assets minus equity
AKO1L,2022,1895.667,74.809,872.975,269.809,603.166,152.671,,ESEF,https://filings.xbrl.org/529900UB9QON717IL030/2022-06-30/ESEF/LT/0/ablinasagrogroup-20220630.json,2026-08-31,liabilities derived as assets minus equity; shares derived from profit / basic EPS (weighted average)
AMG1L,2025,69.578,1.36,324.739,166.276,158.463,178.0,0.06,ESEF,https://filings.xbrl.org/097900BGMP0000061061/2025-12-31/ESEF/LT/0/abambergrid-2025-12-31-en.json,2026-08-31,liabilities derived as assets minus equity
AMG1L,2024,74.31,8.306,327.196,175.628,151.568,178.0,0.11,ESEF,https://filings.xbrl.org/097900BGMP0000061061/2024-12-31/ESEF/LT/0/abambergrid-2024-12-31-en.json,2026-08-31,liabilities derived as assets minus equity
AMG1L,2023,80.921,13.013,333.389,187.526,145.863,178.0,0.07,ESEF,https://filings.xbrl.org/097900BGMP0000061061/2023-12-31/ESEF/LT/0/abambergrid-2023-12-31-en.json,2026-08-31,liabilities derived as assets minus equity
AMG1L,2022,98.206,15.665,548.356,183.804,364.552,174.056,,ESEF,https://filings.xbrl.org/097900BGMP0000061061/2022-12-31/ESEF/LT/0/abambergrid-2022-12-31-en.json,2026-08-31,shares derived from profit / basic EPS (weighted average)
APG1L,2025,307.185,16.216,171.528,69.294,102.234,56.0,0.24,ESEF,https://filings.xbrl.org/529900XX7EU9F4GJTY86/2025-12-31/ESEF/LT/0/apbapranga-2025-12-31-en.json,2026-08-31,
APG1L,2024,292.937,15.96,164.968,66.348,98.62,55.0,0.24,ESEF,https://filings.xbrl.org/529900XX7EU9F4GJTY86/2024-12-31/ESEF/LT/0/apbapranga-2024-12-31-en.json,2026-08-31,
APG1L,2023,269.696,16.773,160.025,63.658,96.367,55.0,0.28,ESEF,https://filings.xbrl.org/529900XX7EU9F4GJTY86/2023-12-31/ESEF/LT/0/apbapranga-2023-12-31-en.json,2026-08-31,
APG1L,2022,242.899,15.635,148.275,62.367,85.908,55.839,,ESEF,https://filings.xbrl.org/529900XX7EU9F4GJTY86/2022-12-31/ESEF/LT/0/apbapranga-2022-12-31-en.json,2026-08-31,shares derived from profit / basic EPS (weighted average)
ARC1T,2025,7.685,-0.479,86.236,36.363,49.873,17.368,0.0,Issuer annual report (audited),https://nasdaqbaltic.com/market/upload/reports/arc/2025_ar_en_eur_con.pdf,2026-08-31,consolidated IFRS; no distribution proposed from the 2025 loss
ARC1T,2024,7.0,-1.0,40.0,20.0,20.0,10.0,0.06,Morningstar fact sheet via nasdaqbaltic.com,,,
ARC1T,2023,18.0,4.0,35.0,21.0,14.0,10.0,0.06,Morningstar fact sheet via nasdaqbaltic.com,,,
ARC1T,2022,13.0,1.0,,18.0,,10.0,0.06,Morningstar fact sheet via nasdaqbaltic.com,,,
AUG1L,2025,51.48,-10.647,184.815,19.291,165.274,,,ESEF,https://filings.xbrl.org/48510000P2S3LHJPX414/2025-12-31/ESEF/LT/0/48510000P2S3LHJPX414-2025-12-31-0-en.json,2026-08-31,
AUG1L,2024,85.369,-32.365,203.075,29.934,172.823,233.0,0.0,ESEF,https://filings.xbrl.org/48510000P2S3LHJPX414/2024-12-31/ESEF/LT/0/augagroupab-2024-12-31-0-en.json,2026-08-31,
AUG1L,2023,77.442,-18.413,228.681,61.397,166.89,231.0,0.0,ESEF,https://filings.xbrl.org/48510000P2S3LHJPX414/2023-12-31/ESEF/LT/0/augagroupab-2023-12-31-en.json,2026-08-31,
AUG1L,2022,80.088,-5.421,231.418,77.105,153.885,229.0,0.0,ESEF,https://filings.xbrl.org/48510000P2S3LHJPX414/2022-12-31/ESEF/LT/0/augagroupab-2022-12-31-en.json,2026-08-31,
BAL1R,2025,74.0,3.0,187.0,127.0,60.0,7.0,0.6,Morningstar fact sheet via nasdaqbaltic.com,,,
BAL1R,2024,78.0,4.0,175.0,125.0,50.0,7.0,0.0,Morningstar fact sheet via nasdaqbaltic.com,,,
BAL1R,2023,98.0,5.0,197.0,141.0,56.0,7.0,0.6,Morningstar fact sheet via nasdaqbaltic.com,,,
BERCM,2025,2.196,-0.33,1.763,0.345,1.418,1.474,,Issuer 12-month report (unaudited),https://nasdaqbaltic.com/market/upload/reports/bercm/2025_q4_en_eur_con_las.pdf,2026-08-31,unaudited — the 2024 audited loss came in worse than the unaudited figure
BERCM,2024,1.524,-0.583,1.363,0.497,0.866,1.0,0.0,Issuer annual report (audited),http://www.bercman.com/wp-content/uploads/2025/08/Bercman-Technologies-2024-consolidated-audited-report-with-sworn-auditor-report.pdf,2026-08-31,consolidated; audit cut assets by 0.406m and equity by 0.421m against the unaudited release
