ticker,isin,lei,legal_name,jurisdiction
AIR,EE3100092792,894500JMKRAWMO6WLP49,Airobot Technologies AS,EE
AKO1L,LT0000128092,529900UB9QON717IL030,AB Akola group,LT
AMG1L,LT0000128696,097900BGMP0000061061,"AB ""Amber Grid""",LT
APG1L,LT0000102337,529900XX7EU9F4GJTY86,"Akcinė prekybos bendrovė ""APRANGA""",LT
ARC1T,EE3100034653,097900BHCB0000066171,Arco Vara AS,EE
AUG1L,LT0000127466,48510000P2S3LHJPX414,"AUGA group, AB",LT
BERCM,EE3100076407,648889296M29DQBJCY58,BERCMAN TECHNOLOGIES,EE
CPA1T,EE3100007857,549300EHNXQVOI120S55,COOP PANK AS,EE
CTS1L,EE3100126368,25940046BHY41BKNKJ92,City Service SE,EE
DGR1R,LV0000101806,2138002PKHUJIMVMYB13,AS DelfinGroup,LV
EEG1T,EE3100016965,529900B52V1TUMW7FS54,Aktsiaselts Ekspress Grupp,EE
EFT1T,EE3100127242,4851000008JBI71L7643,EfTEN Real Estate Fund AS,EE
EGG,LV0000101921,9845000FF8BA92C4LF82,AS Agrova Baltics,LV
EJTC,EE3100008996,64882Q8U24J6A5FF2S42,Estonian Japan Trading Company AS,EE
EWA1L,LT0000132060,48510000ZGSUXT4YG351,"AB ""East West Agro""",LT
FRGTE,LV0000101665,2138008RGTU38IRCST03,Frigate AS,LV
GRB2G,EE3100107194,984500C802EF97DLEF71,Grab2Go AS,EE
GRG1L,LT0000102030,529900YXT3CDTZGS0R43,"AB ""Grigeo""",LT
HAE1T,EE3100004250,5299009GM96I0NYKWS93,AS Harju Elekter Group,EE
HPR1T,EE3100082306,254900NNCQC3L9WR9P45,Hepsor AS,EE
IDX1R,LV0000101863,875500AT8JI5HU41AY20,"IPAS ""Indexo""",LV
IGN1L,LT0000115768,5493005RZJHJT5PNHY10,"AB ""IGNITIS GRUPĖ""",LT
INC1L,LT0000128860,5299006UHD9X339RUR46,"Specialioji uždarojo tipo privataus kapitalo investicinė bendrovė ""INVL Technology""",LT
INF1T,EE3100149394,549300LS1K5S7AWHV603,AKTSIASELTS INFORTAR,EE
INL1L,LT0000128753,5299000AUE9M1W13ZQ36,"Akcinė bendrovė ""INVL Baltic Farmland""",LT
