ticker,year,revenue_eur_m,net_income_eur_m,total_assets_eur_m,total_equity_eur_m,total_liabilities_eur_m,shares_outstanding_m,dividends_per_share_eur,source,source_url,retrieved_date,notes
AIR,2025,1.68,-0.426,0.738,-0.227,0.965,,,Issuer 12-month report (unaudited),https://view.news.eu.nasdaq.com/view?id=b996b4ac09605425c8f4ea7d6a081bb82&lang=et,2026-08-31,equity is negative — a real capital deficit
ARC1T,2025,7.685,-0.479,86.236,36.363,49.873,17.368,0.0,Issuer annual report (audited),https://nasdaqbaltic.com/market/upload/reports/arc/2025_ar_en_eur_con.pdf,2026-08-31,consolidated IFRS; no distribution proposed from the 2025 loss
SKN1T,2025,7.328,-1.154,9.323,4.462,4.861,8.499,,Issuer annual report (audited),https://www.nasdaqbaltic.com/market/upload/reports/skn/2025_ar_et_eur_con_esef.pdf,2026-08-31,consolidated IFRS
MODE,2025,2.522,0.201,7.508,5.348,2.16,1.972,,Issuer annual report (audited),https://modera.com/wp-content/uploads/2026/03/11383889_2025__Aruanne_11383889.pdf,2026-08-31,parent-only — exempt from consolidating; group revenue reported separately as 2.652m
SAUNA,2025,3.393,-0.252,4.177,1.682,2.495,1.438,,Issuer 12-month report (unaudited),https://nasdaqbaltic.com/market/upload/reports/sauna/2025_q4_et_eur_con_las.pdf,2026-08-31,unaudited — no audited 2025 report published yet
BERCM,2025,2.196,-0.33,1.763,0.345,1.418,1.474,,Issuer 12-month report (unaudited),https://nasdaqbaltic.com/market/upload/reports/bercm/2025_q4_en_eur_con_las.pdf,2026-08-31,unaudited — the 2024 audited loss came in worse than the unaudited figure
EGG,2025,24.314,5.18,32.579,11.247,21.332,5.728,,Issuer annual report (audited),https://nasdaqbaltic.com/market/upload/reports/egg/2025_ar_en_con_las.pdf,2026-08-31,consolidated; profit and equity not split between owners and non-controlling interests
FRGTE,2025,1.161,0.114,1.153,1.035,0.118,0.56,0.0,Issuer annual report (audited),https://nasdaqbaltic.com/market/upload/reports/frgte/2025_ar_lv_las.pdf,2026-08-31,standalone under Latvian GAAP not IFRS; board proposed the profit be left undistributed
SCM1R,2025,1.943,0.029,2.222,1.921,0.302,0.422,0.0,Issuer annual report (audited),https://nasdaqbaltic.com/market/upload/reports/scm/2025_ar_en_las.pdf,2026-08-31,standalone under Latvian GAAP not IFRS; 2025 profit retained — the 2026 dividend came from earlier years
INC1L,2025,,13.346,75.055,64.624,10.431,11.964,,Issuer annual report (audited),https://invltechnology.lt/wp-content/uploads/2026/04/Annual-management-report_INVL-Technology_2025.pdf,2026-08-31,investment company — reports no comparable revenue line
K2LT,2025,1.861,3.013,9.957,8.532,1.425,0.312,,Issuer annual report (audited),https://nasdaqbaltic.com/market/upload/reports/k2lt/2025_ar_en_las.pdf,2026-08-31,company-only; profit driven by the December 2025 disposal of a subsidiary — revenue itself fell 3%
NEOFI,2025,8.032,1.498,41.393,4.768,36.625,4.202,0.0,Issuer annual report (audited),https://nasdaqbaltic.com/market/upload/reports/neofi/2025_ar_en_las.pdf,2026-08-31,company-only not consolidated — group equity is materially lower; liabilities derived as assets minus equity
MOLNR,2025,1.147,0.132,5.37,2.114,3.256,1.686,0.0,Issuer annual report (audited),https://www.jmolner.com/_files/ugd/bcb7d0_b4aeedc5ad654314a26f5b2bf5492048.pdf,2026-08-31,consolidated; accumulated loss to be covered from future profits
