ticker,year,revenue_eur_m,net_income_eur_m,total_assets_eur_m,total_equity_eur_m,total_liabilities_eur_m,shares_outstanding_m,dividends_per_share_eur,source,source_url,retrieved_date,notes
AIR,2022,1.002,-0.388,0.722,0.394,0.328,2.511,,Issuer annual report (audited),https://airobothome.com/documents/investor/2023/ARUANNE%202022%20koos%20audiitori%20otsusega.pdf,2026-08-31,consolidated; qualified audit opinion on 2021 opening inventory
AIR,2023,1.524,0.053,0.776,0.447,0.329,2.511,,Issuer annual report (audited),https://airobothome.com/documents/investor/2024/Airobot_aruanne_2023.pdf,2026-08-31,consolidated
AIR,2024,1.317,-0.248,0.65,0.199,0.451,2.511,,Issuer annual report (audited),https://airobothome.com/documents/investor/2025/Auditeeritud%20Aruanne.pdf,2026-08-31,"parent-only — subsidiary merged in, basis changed from the prior years"
BERCM,2023,1.669,-0.254,1.828,1.188,0.64,,,Issuer annual report (audited),http://www.bercman.com/wp-content/uploads/2025/08/Bercman-Technologies-2024-consolidated-audited-report-with-sworn-auditor-report.pdf,2026-08-31,consolidated; taken from the 2024 report's comparative column
BERCM,2024,1.524,-0.583,1.363,0.497,0.866,1.464,,Issuer annual report (audited),http://www.bercman.com/wp-content/uploads/2025/08/Bercman-Technologies-2024-consolidated-audited-report-with-sworn-auditor-report.pdf,2026-08-31,consolidated; audit cut assets by 0.406m and equity by 0.421m against the unaudited release
LINDA,2023,2.49,-0.131,3.762,3.48,0.282,1.58,,Issuer annual report (audited),https://nasdaqbaltic.com/market/upload/reports/linda/2023_ar_en_eur_las_00.pdf,2026-08-31,"parent-only; dividend per share not published, only totals paid during the year"
LINDA,2024,2.544,-0.146,3.41,3.207,0.203,1.58,,Issuer annual report (audited),https://nasdaqbaltic.com/market/upload/reports/linda/2024_ar_en_eur_las_00.pdf,2026-08-31,parent-only; dividend per share not published
LINDA,2025,2.754,-0.268,2.962,2.844,0.118,1.58,,Issuer annual report (audited),https://nasdaqbaltic.com/market/upload/reports/linda/2025_ar_en_eur_las.pdf,2026-08-31,parent-only; board proposed no dividend for 2025
MODE,2023,2.125,-0.095,6.812,5.561,1.251,0.196,,Issuer annual report (audited),https://modera.com/wp-content/uploads/2024/04/11383889_2023__Modera-majandusaasta-aruanne.pdf,2026-08-31,parent-only — exempt from consolidating; filed as an abridged small-undertaking report
MODE,2024,2.035,-0.415,7.48,5.147,2.333,0.197,,Issuer annual report (audited),https://modera.com/wp-content/uploads/2025/06/2024.-majandusaasta-aruanne.pdf,2026-08-31,parent-only — exempt from consolidating
MOLNR,2023,0.618,-1.085,3.131,0.263,2.867,1.686,,Issuer annual report (audited),https://www.jmolner.com/_files/ugd/bcb7d0_7568a357f61f407eb4ee8e1dad636eb0.pdf,2026-08-31,consolidated; from the 2024 report's comparative — the 2023 filing is a scanned image
EGG,2022,11.23,0.331,13.203,0.763,12.44,4.7,,Issuer annual report (audited),https://nasdaqbaltic.com/market/upload/reports/egg/2022_ar_en_eur_con_las.pdf,2026-08-31,"consolidated, Latvian GAAP; filed under the earlier name AS APF Holdings"
EGG,2024,12.68,-0.012,25.639,6.067,19.572,,,Issuer annual report (audited),https://nasdaqbaltic.com/market/upload/reports/egg/2024_ar_en_eur_con_las.pdf,2026-08-31,"consolidated, Latvian GAAP; share count not printed"
FRGTE,2022,0.214,-0.396,0.728,0.609,0.119,0.56,,Issuer annual report (audited),https://nasdaqbaltic.com/market/upload/reports/frgte/2023_ar_lv_eur_00_las.pdf,2026-08-31,"standalone, Latvian GAAP; liabilities from the 2023 comparative, which foots"
FRGTE,2023,0.893,0.234,1.028,0.843,0.185,0.56,,Issuer annual report (audited),https://nasdaqbaltic.com/market/upload/reports/frgte/2023_ar_lv_eur_00_las.pdf,2026-08-31,"standalone, Latvian GAAP"
FRGTE,2024,0.945,0.079,1.028,0.922,0.106,0.56,,Issuer annual report (audited),https://nasdaqbaltic.com/market/upload/reports/frgte/2024_ar_lv_eur_00_las.pdf,2026-08-31,"standalone, Latvian GAAP; the published balance sheet is out by 1 EUR"
KALVE,2024,3.405,0.186,2.252,1.528,0.724,1.194,,Issuer annual report (audited),https://nasdaqbaltic.com/market/upload/reports/kalve/2024_q4_en_eur_00_las.pdf,2026-08-31,"parent-only, Latvian GAAP; audited annual report filed only as a ZIP, figures corroborated across two filings"
KALVE,2025,5.267,-0.116,2.802,1.412,1.39,1.194,,Issuer annual report (audited),https://nasdaqbaltic.com/market/upload/reports/kalve/2025_ar_en_con_las.pdf,2026-08-31,"first consolidated year, Latvian GAAP — not comparable in scope to 2024"
MDARA,2025,23.217,-0.389,16.572,13.482,3.09,3.783,0.4,Issuer annual report (audited),https://nasdaqbaltic.com/market/upload/reports/mdara/2025_ar_en_con_las.pdf,2026-08-31,"consolidated; the 0.40 proposed comes from retained earnings, not from the 2025 loss"
SCM1R,2022,1.558,0.143,1.949,1.767,0.183,0.422,0.0,Issuer annual report (audited),https://nasdaqbaltic.com/market/upload/reports/scm/2023_ar_en_eur_00_las.pdf,2026-08-31,"standalone, Latvian GAAP; profit left undistributed"
SCM1R,2023,1.538,0.065,2.066,1.832,0.234,0.422,0.05,Issuer annual report (audited),https://nasdaqbaltic.com/market/upload/reports/scm/2023_ar_en_eur_00_las.pdf,2026-08-31,"standalone, Latvian GAAP; the 0.05 was distributed from 2017 retained earnings"
SCM1R,2024,1.656,0.081,2.268,1.892,0.377,0.422,0.0,Issuer annual report (audited),https://nasdaqbaltic.com/market/upload/reports/scm/2024_ar_en_eur_00_las.pdf,2026-08-31,"standalone, Latvian GAAP; profit left undistributed"
INC1L,2022,,2.115,38.447,38.27,0.177,12.068,,Issuer annual report (audited),https://nasdaqbaltic.com/market/upload/reports/inc/2022_ar_en_eur_solo_ias_00.pdf,2026-08-31,"investment company — reports total net income, not revenue"
K2LT,2024,1.92,0.592,5.954,5.519,0.435,0.312,,Issuer annual report (audited),https://nasdaqbaltic.com/market/upload/reports/k2lt/2024_ar_lt_eur_solo_las.pdf,2026-08-31,"company-only, Lithuanian GAAP; the 1.00 paid during 2024 was the 2023 profit"
NEOFI,2022,3.53,0.104,17.142,2.524,14.618,4.202,,Issuer annual report (audited),https://nasdaqbaltic.com/market/upload/reports/neofi/2022_ar_en_eur_00_las.pdf,2026-08-31,"company-only, not consolidated"
NEOFI,2023,4.625,0.261,27.404,2.785,24.619,,,Issuer annual report (audited),https://nasdaqbaltic.com/market/upload/reports/neofi/2024_ar_en_eur_00_las.pdf,2026-08-31,"company-only, not consolidated; from the 2024 report's comparative"
NEOFI,2024,6.072,0.486,32.125,3.27,28.854,4.202,,Issuer annual report (audited),https://nasdaqbaltic.com/market/upload/reports/neofi/2024_ar_en_eur_00_las.pdf,2026-08-31,"company-only, not consolidated; liabilities are the residual, no total is printed"
TPD1T,2023,0.027,-0.032,1.708,1.687,0.021,4.499,,Issuer annual report (audited),https://nasdaqbaltic.com/market/upload/reports/tpd/2024_ar_en_eur_00_00.pdf,2026-08-31,parent-only
TPD1T,2024,0.332,0.167,1.874,1.855,0.019,4.499,,Issuer annual report (audited),https://nasdaqbaltic.com/market/upload/reports/tpd/2024_ar_en_eur_00_00.pdf,2026-08-31,parent-only
TPD1T,2025,0.0,-0.1,1.805,1.755,0.049,4.499,,Issuer annual report (audited),https://nasdaqbaltic.com/market/upload/reports/tpd/2025_ar_en.pdf,2026-08-31,parent-only; revenue genuinely nil for the year
UTR1L,2024,17.796,-1.791,15.505,0.39,15.115,9.503,,Issuer annual report (audited),https://nasdaqbaltic.com/market/upload/reports/utr/2025_q4_en_con.pdf,2026-08-31,"consolidated, profit attributable to owners; audit restated every line against the unaudited release"
UTR1L,2025,22.895,-0.474,12.535,0.477,12.058,9.503,,"Issuer report (balance sheet audited, income statement unaudited)",https://nasdaqbaltic.com/market/upload/reports/utr/2025_q4_en_con.pdf,2026-08-31,"consolidated, profit attributable to owners; audited annual report published only as an ESEF archive"
